No	unit	文番号	英文	日訳	キー文法1	キー文法2	キー文法3	備考
32	4A	LR2-32	You may think it is useless or helpless, but you notice something interesting.	あなたはそれが役に立たない、あるいは無力だと思うかもしれませんが、何か面白いことに気づきます。	may	something + 形容詞		
33	4A	LR2-33	When this robot calls for help, people come to it and pick up the trash happily.	このロボットが助けを求めると、人々がそれに寄ってきて、楽しそうにゴミを拾います。	when (接続詞)	call for ~	pick ~ up	
34	4A	LR2-34	They enjoy helping the robot.	彼らはそのロボットを助けることを楽しみます。	enjoy -ing			
35	4A	LR2-35	It makes people smile.	それは人々を笑顔にします。	make O do			
36	4A	LR2-36	The person who developed this robot wanted people to recognize the value of cooperation.	このロボットを開発した人は、人々に協力の価値を認識してほしかったのです。	関係代名詞(who)	want A to do B		
37	4A	LR2-37	We may expect robots to be perfect, but Sociable Trash Box is made to be imperfect.	私たちはロボットが完璧であることを期待するかもしれませんが、「社交的なゴミ箱」は不完全であるように作られています。	expect A to be B	be made to do		
38	4A	LR2-38	When people help it, they understand the importance of being imperfect and the need to help each other.	人々がそれを助けるとき、彼らは不完全であることの重要性と、互いに助け合う必要性を理解します。	when (接続詞)	to不定詞(形容詞的用法)		
39	4A	LR2-39	What kind of robot would you like to have?	あなたはどんな種類のロボットが欲しいですか？	would like to do	what kind of ~?		
40	4A	LR2-40	What kind of relationships do you want to have with robots?	あなたはロボットとどんな関係を持ちたいですか？	want to do			
41	4A	LR2-41	Do you think it is okay if robots are imperfect?	もしロボットが不完全でも構わないと思いますか？	think (that) S V	if (接続詞)		
42	4A	LR2-42	They might help us learn to cooperate and be kind to others.	それらは私たちが協力し、他者に親切にすることを学ぶのを助けてくれるかもしれません。	might	help O do		
43	4A	LR2-43	We are already living with robots, so it is important and fun to think about these questions.	私たちはすでにロボットと共に生きており、だからこれらの問いについて考えることは重要で楽しいのです。	It is ~ to do ...			
